0.000178808,3792621,38034,"Population, 2010  ",6.800783472
0,468.67,9.31,Area,0
0,35283.05085,3738.908325,Population Density (2010),0
0,43,26.2,"Mean travel time to work (minutes), workers age 16+, 2006-2010  ",0
0,0.388,0.249,"Persons under 18 years, percent, 2010  ",0
40,0.545,0.1145,"Persons below poverty level, percent, 2006-2010  ",4.58
20,0.574,0.2365,"Foreign born persons, percent,  2006-2010  ",4.73
40,0.812,0.2445,"Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ",9.78
0,0.669,0.0675,"Asian persons, percent, 2010 ",0
40,0.795,0.1095,"Persons 65 years and over, percent,  2010  ",4.38
0,0.1,0.047,"Persons reporting two or more races, percent, 2010  ",0
17,0.989,0.5975,"Homeownership rate, 2006-2010  ",10.1575
0,0.117,0.068,"Persons under 5 years, percent, 2010  ",0
0,4.69,2.91,"Persons per household, 2006-2010  ",0
0,1314198,12886.5,"Households, 2006-2010  ",0
50,0.876,0.247,"Housing units in multi-unit structures, percent, 2006-2010  ",12.35
0.001,23255.5,3666.65,"Persons per square mile, 2010  ",3.66665
0,0.063,0.009,"American Indian and Alaska Native persons, percent, 2010 ",0
10,0.975,0.323,"Persons of Hispanic or Latino origin, percent, 2010 ",3.23
0,36672803000,494602500,"Retail sales, 2007 ",0
100,0.439,0.022,"Black persons, percent, 2010 ",2.2
0,1413995,14282,"Housing units, 2010  ",0
0,0.915,0.6165,"White persons, percent, 2010 ",0
0,3694820,34205.5,"Population, 2000  ",0
0,84344,12776,"Retail sales per capita, 2007  ",0
0,0.874,0.437,"White persons not Hispanic, percent, 2010  ",0
3.03E-05,1000001,422750,"Median value of owner-occupied housing units, 2006-2010  ",12.81059325
0,0.978,0.3745,"Language other than English spoken at home, pct age 5+, 2006-2010  ",0
0,0.957,0.844,"Living in same house 1 year & over, 2006-2010  ",0
50,2.821,0.065,"Population, percent change, 2000 to 2010  ",3.25
0,468.67,9.61,"Land area in square miles, 2010  ",0
0,91413,25862,Per capita money income in past 12 months (2010 dollars) 2006-2010 ,0
0,0.701,0.509,"Female persons, percent, 2010  ",0
10,0.988,0.8335,"High school graduates, percent of persons age 25+, 2006-2010  ",8.335
0.0002,169674,59421.5,Median household income 2006-2010  ,11.8843
0.1,21484,106.5,Violent crime,10.65
0,293,1,Murder and nonnegligent manslaughter,0
0,923,6,Forcible rape,0
0,10924,30,Robbery,0
0,9344,64,Aggravated assault,0
0.01,89704,920.5,Property crime,9.205
0,17410,207,Burglary,0
0,55248,592.5,Larceny-theft,0
0,17046,94,Motor vehicle theft,0
0,1341,5,Arson,0
0,,,,
0,,,,
0,,,,
