Fremont,All,Population,205477
Fremont,Public Safety,Police,Total Employees,277
Fremont,Public Safety,Police,Violent Crime,488
Fremont,Public Safety,Police,Property Crime,4414
Fremont,Public Safety,Police,Dispatch Time Fake,323
Fremont,Public Safety,Fire,Total Employees,331
Gilroy,All,Population,51108
Gilroy,Public Safety,Police,Total Employees,86
Gilroy,Public Safety,Police,Violent Crime,205
Gilroy,Public Safety,Police,Property Crime,1555
Gilroy,Public Safety,Police,Dispatch Time Fake,389
Gilroy,Public Safety,Fire,Total Employees,103
Lafayette,All,Population,25527
Lafayette,Public Safety,Police,Total Employees,
Lafayette,Public Safety,Police,Violent Crime,20
Lafayette,Public Safety,Police,Property Crime,447
Lafayette,Public Safety,Police,Dispatch Time Fake,332
Lafayette,Public Safety,Fire,Total Employees,0
Los Altos,All,Population,28652
Los Altos,Public Safety,Police,Total Employees,47
Los Altos,Public Safety,Police,Violent Crime,8
Los Altos,Public Safety,Police,Property Crime,233
Los Altos,Public Safety,Police,Dispatch Time Fake,259
Los Altos,Public Safety,Fire,Total Employees,24
Los Angeles,All,Population,3841707
Los Angeles,Public Safety,Police,Total Employees,12754
Los Angeles,Public Safety,Police,Violent Crime,21484
Los Angeles,Public Safety,Police,Property Crime,89704
Los Angeles,Public Safety,Police,Dispatch Time Fake,317
Los Angeles,Public Safety,Fire,Total Employees,6777
Modesto,All,Population,203890
Modesto,Public Safety,Police,Total Employees,319
Modesto,Public Safety,Police,Violent Crime,1398
Modesto,Public Safety,Police,Property Crime,9383
Modesto,Public Safety,Police,Dispatch Time Fake,330
Modesto,Public Safety,Fire,Total Employees,306
Monterey,All,Population,27619
Monterey,Public Safety,Police,Total Employees,66
Monterey,Public Safety,Police,Violent Crime,154
Monterey,Public Safety,Police,Property Crime,1183
Monterey,Public Safety,Police,Dispatch Time Fake,394
Monterey,Public Safety,Fire,Total Employees,77
Palo Alto,All,Population,60288
Palo Alto,Public Safety,Police,Total Employees,143
Palo Alto,Public Safety,Police,Violent Crime,58
Palo Alto,Public Safety,Police,Property Crime,1346
Palo Alto,Public Safety,Police,Dispatch Time Fake,341
Palo Alto,Public Safety,Fire,Total Employees,139
Placerville,All,Population,10124
Placerville,Public Safety,Police,Total Employees,25
Placerville,Public Safety,Police,Violent Crime,65
Placerville,Public Safety,Police,Property Crime,247
Placerville,Public Safety,Police,Dispatch Time Fake,300
Placerville,Public Safety,Fire,Total Employees,32
Redwood City,All,Population,74355
Redwood City,Public Safety,Police,Total Employees,116
Redwood City,Public Safety,Police,Violent Crime,174
Redwood City,Public Safety,Police,Property Crime,1641
Redwood City,Public Safety,Police,Dispatch Time Fake,371
Redwood City,Public Safety,Fire,Total Employees,144
Salinas,All,Population,144242
Salinas,Public Safety,Police,Total Employees,210
Salinas,Public Safety,Police,Violent Crime,1162
Salinas,Public Safety,Police,Property Crime,4648
Salinas,Public Safety,Police,Dispatch Time Fake,385
Salinas,Public Safety,Fire,Total Employees,219
San Francisco,All,Population,818594
San Francisco,Public Safety,Police,Total Employees,2629
San Francisco,Public Safety,Police,Violent Crime,5747
San Francisco,Public Safety,Police,Property Crime,32365
San Francisco,Public Safety,Police,Dispatch Time Fake,321
San Francisco,Public Safety,Fire,Total Employees,2079
San Jose,All,Population,970252
San Jose,Public Safety,Police,Total Employees,1624
San Jose,Public Safety,Police,Violent Crime,3215
San Jose,Public Safety,Police,Property Crime,22081
San Jose,Public Safety,Police,Dispatch Time Fake,282
San Jose,Public Safety,Fire,Total Employees,1819
San Mateo,All,Population,92724
San Mateo,Public Safety,Police,Total Employees,142
San Mateo,Public Safety,Police,Violent Crime,292
San Mateo,Public Safety,Police,Property Crime,1905
San Mateo,Public Safety,Police,Dispatch Time Fake,381
San Mateo,Public Safety,Fire,Total Employees,194
Santa Monica,All,Population,87817
Santa Monica,Public Safety,Police,Total Employees,387
Santa Monica,Public Safety,Police,Violent Crime,392
Santa Monica,Public Safety,Police,Property Crime,3120
Santa Monica,Public Safety,Police,Dispatch Time Fake,272
Santa Monica,Public Safety,Fire,Total Employees,335
